번호,진단축,진단축명,단계,단계명,분기계열,역채점,매칭축_매핑,문항텍스트
Q017,INT,흥미,1,1차 기본,ALL,,LANG=1.0,외국어를 사용해 해외 사람들과 일하는 것에 관심이 있다.
Q018,INT,흥미,1,1차 기본,ALL,,EDU=1.0,어린이를 가르치거나 돌보는 일에 흥미가 있다.
Q019,INT,흥미,1,1차 기본,ALL,,WELFARE=1.0,도움이 필요한 사람을 지원하는 사회복지·상담 분야에 관심이 있다.
Q020,INT,흥미,1,1차 기본,ALL,,DESIGN=1.0,디자인·그래픽·공간 꾸미기에 흥미가 많다.
Q021,INT,흥미,1,1차 기본,ALL,,CONTENT=1.0,글쓰기·영상·연극·음악 같은 창작 콘텐츠 분야에 관심이 있다.
Q022,INT,흥미,1,1차 기본,ALL,,BEAUTY=1.0,헤어·메이크업·피부관리 같은 뷰티 분야에 흥미가 있다.
Q023,INT,흥미,1,1차 기본,ALL,,HEALTH=1.0,운동·스포츠·체력 관리 분야에 관심이 많다.
Q024,INT,흥미,1,1차 기본,ALL,,MED=1.0,병원·의료·건강관리 분야에 흥미가 있다.
Q025,INT,흥미,2,2차 심화,IT,,"SW=1.0, AI=1.0",데이터를 분석해 의미 있는 결론을 끌어내는 일이 흥미롭다.
Q026,INT,흥미,2,2차 심화,IT,,"GAME=1.5, AI=0.5",가상현실·증강현실(VR/AR) 콘텐츠를 만드는 일에 관심이 있다.
Q027,INT,흥미,2,2차 심화,HW,,"EMB=1.0, MECH=0.5",직접 부품을 조립하고 회로를 연결해 무언가 작동시키는 일이 좋다.
Q028,INT,흥미,2,2차 심화,HW,,"CIVIL=1.0, INDUST=0.5",현장에서 측량·시공·공정 관리하는 일에 흥미가 간다.
Q029,INT,흥미,2,2차 심화,BIZ,,"BIZ=1.0, SERVICE=0.5",사람을 직접 응대하며 회사의 매출을 만드는 일이 흥미롭다.
Q030,INT,흥미,2,2차 심화,HUM,,"WELFARE=1.0, EDU=0.5",사람의 어려움을 들어주고 해결책을 함께 찾는 일에 보람을 느낀다.
Q031,INT,흥미,2,2차 심화,ART,,"DESIGN=0.5, CONTENT=1.0, BEAUTY=0.5",내 손으로 무언가를 표현하거나 작품을 만드는 활동을 즐긴다.
Q032,INT,흥미,2,2차 심화,HEALTH,,"HEALTH=1.0, MED=0.5",사람의 몸과 건강을 다루는 일에 자연스럽게 끌린다.
Q033,INT,흥미,3,상담 정밀형,IT,,"SW=1.5, GAME=0.5",Unity나 Unreal 같은 게임 엔진으로 직접 게임을 만들어 보고 싶다.
Q034,INT,흥미,3,상담 정밀형,IT,,"SEC=1.5, SYS=0.5",정보를 안전하게 지키고 보안 사고를 막는 일에 사명감이 든다.
Q035,INT,흥미,3,상담 정밀형,HW,,"EMB=1.5, ELEC=0.5",드론을 조종하고 영상을 촬영·편집하는 일에 호기심이 있다.
Q036,INT,흥미,3,상담 정밀형,BIZ,,"LANG=1.5, SERVICE=0.5",일본·중국 등 아시아 국가의 문화와 비즈니스에 흥미가 있다.
Q037,INT,흥미,3,상담 정밀형,BIZ,,"BIZ=1.0, ACC=0.5",부동산 시장이나 자산 관리에 관심이 많다.
Q038,INT,흥미,3,상담 정밀형,ART,,"BEAUTY=1.5, DESIGN=0.5",트렌드에 민감하고 패션·스타일링 변화를 관찰하는 것이 즐겁다.
Q039,INT,흥미,3,상담 정밀형,ART,,"CONTENT=1.5, DESIGN=0.5",연기·연출·영상촬영 같은 무대·영상 작업에 흥미가 있다.
Q040,INT,흥미,3,상담 정밀형,HEALTH,,"MED=1.5, WELFARE=0.5",의료 기록·환자 정보를 정확히 관리하는 일에 관심이 간다.
Q041,ACT,활동 선호,1,1차 기본,ALL,,"SW=0.5, AI=0.5, ACC=0.5",혼자 집중해서 분석하거나 계산하는 활동이 좋다.
Q042,ACT,활동 선호,1,1차 기본,ALL,,"SERVICE=1.0, EDU=0.5, WELFARE=0.5",여러 사람과 어울리며 협력하는 활동이 좋다.
Q043,ACT,활동 선호,1,1차 기본,ALL,,"SW=1.0, DESIGN=0.5, CONTENT=0.5",이론을 배우는 것보다 직접 만들어 보는 실습 활동을 선호한다.
Q044,ACT,활동 선호,1,1차 기본,ALL,,"MECH=1.0, CIVIL=1.0, HEALTH=0.5",실내에서 책상 앞에 있는 것보다 현장·야외 활동이 잘 맞는다.
Q045,ACT,활동 선호,1,1차 기본,ALL,,"ACC=1.0, ADMIN=1.0, MED=0.5",정해진 절차와 규칙에 따라 정확히 처리하는 활동이 편하다.
Q046,ACT,활동 선호,1,1차 기본,ALL,,"DESIGN=1.0, CONTENT=1.0, BEAUTY=0.5",새롭고 창의적인 아이디어를 표현하는 활동이 즐겁다.
Q047,ACT,활동 선호,1,1차 기본,ALL,,"BIZ=1.0, SERVICE=1.0, ADMIN=0.5",회의에서 의견을 정리하고 발표하는 활동에 자신이 있다.
Q048,ACT,활동 선호,1,1차 기본,ALL,,"BEAUTY=1.0, DESIGN=0.5, MECH=0.5",손으로 정밀하게 만들거나 다듬는 작업이 잘 맞는다.
Q049,ACT,활동 선호,1,1차 기본,ALL,,"HEALTH=1.5, EDU=0.5",몸을 움직이며 다른 사람을 가르치거나 이끄는 활동을 좋아한다.
Q050,ACT,활동 선호,1,1차 기본,ALL,,"EDU=1.0, WELFARE=1.0",주변에 어려움이 있는 사람을 먼저 챙기는 편이다.
Q051,ACT,활동 선호,1,1차 기본,ALL,,"SW=0.5, AI=0.5, INDUST=0.5, BIZ=0.5",복잡한 문제를 단계별로 쪼개어 해결하는 활동을 즐긴다.
Q052,ACT,활동 선호,1,1차 기본,ALL,,"CONTENT=1.0, LANG=0.5",글이나 말로 내 생각을 표현하는 활동에 자신이 있다.
Q053,ACT,활동 선호,2,2차 심화,IT,,"SW=1.0, GAME=0.5, AI=0.5",코드 한 줄 한 줄을 디버깅하며 오류를 해결할 때 몰입한다.
Q054,ACT,활동 선호,2,2차 심화,HW,,"MECH=1.0, ELEC=0.5, EMB=0.5",도면·CAD로 정확하게 설계도를 그리는 작업이 잘 맞는다.
Q055,ACT,활동 선호,2,2차 심화,BIZ,,"BIZ=1.0, ACC=1.0",엑셀·자료 정리로 숫자를 다루고 보고서를 만드는 일이 좋다.
Q056,ACT,활동 선호,2,2차 심화,BIZ,,"SERVICE=1.5, LANG=0.5",낯선 사람을 친절하게 응대하고 도움을 주는 활동이 좋다.
Q057,ACT,활동 선호,2,2차 심화,HUM,,"EDU=1.5, WELFARE=0.5",어린이의 눈높이에 맞춰 놀이·활동을 진행하는 일이 좋다.
Q058,ACT,활동 선호,2,2차 심화,ART,,"DESIGN=1.0, CONTENT=0.5",스케치·일러스트·그래픽 작업처럼 시각적 표현을 좋아한다.
Q059,ACT,활동 선호,2,2차 심화,ART,,"BEAUTY=1.5, CONTENT=0.5",사람을 직접 만져 외모를 바꾸거나 스타일링하는 활동이 즐겁다.
Q060,ACT,활동 선호,2,2차 심화,HEALTH,,"HEALTH=1.5, MED=0.5",체육 시간이나 운동 모임이 일주일 중 가장 기다려진다.
Q061,ACT,활동 선호,3,상담 정밀형,ALL,Y,"BIZ=0.5, SERVICE=0.5",잘 모르는 사람들 앞에서 발표하거나 말하는 것이 부담스럽다.
Q062,ACT,활동 선호,3,상담 정밀형,ALL,,"AI=0.5, ACC=1.0, INDUST=0.5",엑셀의 수식·그래프 기능을 익히고 데이터 정리를 하는 것이 즐겁다.
Q063,ACT,활동 선호,3,상담 정밀형,IT,,"SEC=1.5, NET=0.5, SYS=0.5",시스템의 취약점을 찾아내고 보완하는 활동에 흥미가 있다.
Q064,ACT,활동 선호,3,상담 정밀형,IT,,"NET=1.5, SYS=0.5",통신망·서버를 안정적으로 운영하는 활동이 잘 맞을 것 같다.
Q065,ACT,활동 선호,3,상담 정밀형,HW,,"EMB=1.5, SW=0.5",센서·마이크로컨트롤러로 소형 장치를 만들어 본 적이 있거나 만들고 싶다.
Q066,ACT,활동 선호,3,상담 정밀형,HW,,"CIVIL=1.5, INDUST=0.5, ADMIN=0.5",측량 장비를 다루며 지도·공간 정보를 수집하는 일에 흥미가 있다.
Q067,ACT,활동 선호,3,상담 정밀형,BIZ,,"ACC=1.5, ADMIN=0.5",장부·세금 계산처럼 숫자를 끝까지 맞춰내는 일에 집중력이 좋다.
Q068,ACT,활동 선호,3,상담 정밀형,BIZ,,"BIZ=1.0, ACC=0.5, CIVIL=0.5",건물·토지 가치를 비교·분석하는 활동이 흥미롭다.
Q069,ACT,활동 선호,3,상담 정밀형,BIZ,,"LANG=1.0, SERVICE=1.0",원어민과 외국어로 대화하고 통역·번역하는 활동이 즐겁다.
Q070,ACT,활동 선호,3,상담 정밀형,HUM,,"WELFARE=1.5, EDU=0.5, MED=0.5",타인의 이야기를 끝까지 들어주는 데 인내심이 있는 편이다.
Q071,ACT,활동 선호,3,상담 정밀형,ART,,"CONTENT=1.5, LANG=0.5",시나리오·소설·시 같은 글쓰기를 시간 가는 줄 모르고 한다.
Q072,ACT,활동 선호,3,상담 정밀형,ART,,"CONTENT=1.0, DESIGN=0.5, SW=0.5",영상 촬영·편집 도구(프리미어·파이널컷 등)를 다루는 활동을 즐긴다.
Q073,ACT,활동 선호,3,상담 정밀형,ART,,"BEAUTY=1.0, DESIGN=1.0",옷·소품을 매치해 사람의 이미지를 바꾸는 작업에 흥미가 있다.
Q074,ACT,활동 선호,3,상담 정밀형,ART,,"BEAUTY=1.5, MED=0.5",피부 관리·메디컬 코스메틱처럼 정밀한 피부 시술 활동에 관심이 간다.
Q075,ACT,활동 선호,3,상담 정밀형,HEALTH,,"HEALTH=1.5, EDU=0.5",사람들의 운동을 지도하고 동기부여하는 활동이 잘 맞을 것 같다.
Q076,LRN,학습 방식,1,1차 기본,ALL,,"SW=0.5, MECH=1.0, HEALTH=0.5, BEAUTY=0.5, EMB=0.5",직접 해보면서 배울 때 가장 잘 익힌다.
Q077,LRN,학습 방식,1,1차 기본,ALL,,"ACC=1.0, ADMIN=0.5, MED=0.5, LANG=0.5",교과서·자료를 차근차근 읽으며 외울 때 잘 익힌다.
Q078,LRN,학습 방식,1,1차 기본,ALL,,"BIZ=0.5, EDU=0.5, WELFARE=0.5, CONTENT=0.5",친구들과 토론하며 배울 때 이해가 잘 된다.
Q079,LRN,학습 방식,1,1차 기본,ALL,,"AI=1.0, SW=0.5, INDUST=0.5",원리와 구조를 깊이 이해해야 응용할 수 있다고 생각한다.
Q080,LRN,학습 방식,1,1차 기본,ALL,,"DESIGN=1.0, CONTENT=1.0, BEAUTY=0.5",정답이 없는 문제에서 새로운 답을 만들어내는 학습을 즐긴다.
Q081,LRN,학습 방식,1,1차 기본,ALL,,"ACC=1.0, ADMIN=0.5, INDUST=0.5, SEC=0.5",한 가지 일을 끝까지 꼼꼼하게 마무리하는 편이다.
Q082,LRN,학습 방식,1,1차 기본,ALL,,"SW=1.0, AI=0.5, GAME=0.5",새로운 기술이나 도구를 익히는 데 두려움이 없다.
Q083,LRN,학습 방식,1,1차 기본,ALL,,"EDU=1.0, WELFARE=1.0, SERVICE=0.5",내가 배운 것을 다른 사람에게 가르쳐줄 때 더 잘 이해된다.
Q084,LRN,학습 방식,2,2차 심화,IT,,"SW=1.5, GAME=0.5",온라인 강의·튜토리얼을 보며 혼자 프로젝트를 끝낸 적이 있다.
Q085,LRN,학습 방식,2,2차 심화,HW,,"MECH=1.0, ELEC=0.5, CIVIL=0.5",수식·도면 같은 시각 자료를 통해 개념을 잡는 편이다.
Q086,LRN,학습 방식,2,2차 심화,BIZ,,"BIZ=1.0, ACC=0.5",사례 연구·기업 분석으로 배울 때 흥미가 가장 높다.
Q087,LRN,학습 방식,2,2차 심화,HUM,,"EDU=1.0, WELFARE=1.0",이론보다 사람들과 직접 만나며 배울 때 의미를 더 느낀다.
Q088,LRN,학습 방식,2,2차 심화,ART,,"CONTENT=1.0, DESIGN=1.0, BEAUTY=0.5",유명 작품·작가를 모방·분석하며 내 스타일을 찾아간다.
Q089,LRN,학습 방식,2,2차 심화,HEALTH,,"HEALTH=1.0, MED=1.0",몸으로 반복 훈련하며 익히는 학습이 잘 맞는다.
Q090,LRN,학습 방식,3,상담 정밀형,IT,,"SW=1.0, SYS=0.5, NET=0.5",기술 자격증 학습처럼 체계적인 커리큘럼을 좋아한다.
Q091,LRN,학습 방식,3,상담 정밀형,IT,,"SEC=1.0, AI=0.5",최신 기술 동향을 영어 문서로 직접 읽어볼 의향이 있다.
Q092,LRN,학습 방식,3,상담 정밀형,HW,,"INDUST=1.0, MECH=0.5, ADMIN=0.5",공정·계획표를 만들고 시간 안에 끝내는 훈련이 잘 맞는다.
Q093,LRN,학습 방식,3,상담 정밀형,BIZ,,"ADMIN=1.0, ACC=0.5",공무원·자격증 시험처럼 명확한 목표가 있는 학습을 선호한다.
Q094,LRN,학습 방식,3,상담 정밀형,BIZ,,LANG=1.5,외국어 회화는 부끄러워도 일단 말해보며 익히는 편이다.
Q095,LRN,학습 방식,3,상담 정밀형,BIZ,,"SERVICE=1.0, BIZ=0.5",역할극·모의 상황을 통해 배울 때 자신감이 생긴다.
Q096,LRN,학습 방식,3,상담 정밀형,HUM,,EDU=1.5,실제 어린이집·유치원 현장 실습을 통해 가장 많이 배우는 편이다.
Q097,LRN,학습 방식,3,상담 정밀형,ART,,"CONTENT=1.0, BEAUTY=0.5, DESIGN=0.5",포트폴리오를 만들어가는 과정 자체가 즐거운 학습이다.
Q098,LRN,학습 방식,3,상담 정밀형,ART,,BEAUTY=1.5,선생님 시연을 보고 그대로 따라 해 보며 익히는 도제식 학습이 잘 맞는다.
Q099,LRN,학습 방식,3,상담 정밀형,HEALTH,,"HEALTH=1.0, MED=0.5, WELFARE=0.5",다른 사람의 몸 상태를 관찰하며 무엇이 필요한지 알아채는 편이다.
Q100,LRN,학습 방식,3,상담 정밀형,HEALTH,,"MED=1.5, ADMIN=0.5",의학 용어나 보건 법규 같은 전문 용어 암기에 거부감이 없다.
Q101,COMP,역량 인식,1,1차 기본,ALL,,"SW=1.0, AI=1.0, ACC=0.5",수학·수리 문제를 푸는 데 어려움이 적다.
Q102,COMP,역량 인식,1,1차 기본,ALL,,"LANG=1.0, CONTENT=1.0",글을 읽고 핵심을 정리하거나 문장을 써내는 능력이 좋다.
Q103,COMP,역량 인식,1,1차 기본,ALL,,"MECH=1.0, DESIGN=0.5, BEAUTY=0.5, EMB=0.5",손재주가 좋아 정밀한 작업을 잘하는 편이다.
Q104,COMP,역량 인식,1,1차 기본,ALL,,"SERVICE=1.0, WELFARE=1.0, EDU=0.5",낯선 사람과도 어색함 없이 대화를 시작할 수 있다.
Q105,COMP,역량 인식,1,1차 기본,ALL,,"DESIGN=1.0, CIVIL=1.0, MECH=0.5",사물의 형태와 공간 관계를 머릿속에서 그려낼 수 있다.
Q106,COMP,역량 인식,1,1차 기본,ALL,,"CONTENT=1.0, BIZ=0.5, EDU=0.5",내 생각을 말이나 글로 명확하게 전달하는 편이다.
Q107,COMP,역량 인식,1,1차 기본,ALL,,"HEALTH=1.5, BEAUTY=0.5",체력이 좋고 몸을 쓰는 일에 자신이 있다.
Q108,COMP,역량 인식,1,1차 기본,ALL,,"SW=1.0, INDUST=0.5, AI=0.5",복잡한 문제를 단계별로 분석해 해결 방법을 찾아낸다.
Q109,COMP,역량 인식,1,1차 기본,ALL,,"EDU=1.0, WELFARE=1.0, SERVICE=0.5",타인의 감정을 잘 알아채고 공감하는 편이다.
Q110,COMP,역량 인식,1,1차 기본,ALL,,"BIZ=1.0, INDUST=0.5, ADMIN=0.5",여러 일을 동시에 조율하고 관리하는 능력이 있다.
Q111,COMP,역량 인식,1,1차 기본,ALL,,"ACC=1.5, ADMIN=0.5, SEC=0.5, MED=0.5",꼼꼼해서 작은 실수도 잘 찾아낸다.
Q112,COMP,역량 인식,1,1차 기본,ALL,,"DESIGN=1.5, CONTENT=1.0, BEAUTY=0.5",시각적인 균형·색감·디테일을 잘 알아본다.
Q113,COMP,역량 인식,1,1차 기본,ALL,,"CONTENT=1.0, BIZ=0.5, DESIGN=0.5",새로운 아이디어가 자주 떠오르는 편이다.
Q114,COMP,역량 인식,1,1차 기본,ALL,,LANG=1.5,외국어를 듣고 말하는 데 거부감이 적다.
Q115,COMP,역량 인식,2,2차 심화,IT,,"SW=1.5, AI=0.5",프로그래밍 언어(파이썬·자바·C 등) 학습에 자신이 있다.
Q116,COMP,역량 인식,2,2차 심화,IT,,"AI=1.0, SW=0.5, INDUST=0.5",데이터에서 패턴이나 규칙을 찾아내는 능력이 있다.
Q117,COMP,역량 인식,2,2차 심화,HW,,"MECH=1.0, CIVIL=0.5, ELEC=0.5",물리·역학 같은 과학 과목을 비교적 잘하는 편이다.
Q118,COMP,역량 인식,2,2차 심화,HW,,"EMB=1.0, ELEC=0.5, MECH=0.5",장난감·기계를 분해해 보고 다시 조립한 경험이 많다.
Q119,COMP,역량 인식,2,2차 심화,BIZ,,"BIZ=1.0, ACC=1.0, ADMIN=0.5",예산·비용·이익을 계산해 보는 일이 어렵지 않다.
Q120,COMP,역량 인식,2,2차 심화,BIZ,,"SERVICE=1.5, LANG=0.5",화가 난 사람도 차분히 응대해 진정시킬 수 있다.
Q121,COMP,역량 인식,2,2차 심화,HUM,,"EDU=1.0, WELFARE=1.0",어린이나 도움이 필요한 사람을 자연스럽게 보살핀다.
Q122,COMP,역량 인식,2,2차 심화,ART,,"DESIGN=1.5, CONTENT=0.5, BEAUTY=0.5",그림이나 작품을 보면 어떻게 만들어졌는지 분석하게 된다.
Q123,COMP,역량 인식,2,2차 심화,ART,,"CONTENT=1.5, DESIGN=0.5",이야기·캐릭터·세계관을 상상해서 만들어내는 능력이 있다.
Q124,COMP,역량 인식,2,2차 심화,HEALTH,,"HEALTH=1.5, MED=0.5",운동 종목 중 한 가지 이상 잘하는 편이다.
Q125,COMP,역량 인식,3,상담 정밀형,IT,,"SW=1.5, SYS=0.5",오류 메시지를 보고 검색·해결할 때까지 끈기를 발휘한다.
Q126,COMP,역량 인식,3,상담 정밀형,IT,,"GAME=1.5, DESIGN=0.5, CONTENT=0.5",게임 규칙이나 캐릭터 디자인 같은 게임 기획 능력에 자신이 있다.
Q127,COMP,역량 인식,3,상담 정밀형,IT,,"SEC=1.5, SYS=0.5, NET=0.5",한 가지 문제의 모든 가능성을 의심하며 점검하는 신중함이 있다.
Q128,COMP,역량 인식,3,상담 정밀형,IT,,"NET=1.0, SW=0.5, AI=0.5",기술 매뉴얼·설명서를 읽고 그대로 따라 해본 경험이 많다.
Q129,COMP,역량 인식,3,상담 정밀형,HW,,"MECH=1.5, INDUST=0.5",기계·장치의 작동 원리를 보고 어디가 고장 났는지 추측해 낸다.
Q130,COMP,역량 인식,3,상담 정밀형,HW,,"EMB=1.5, GAME=0.5",드론·로봇을 조종하는 데 손과 눈의 협응이 좋다.
Q131,COMP,역량 인식,3,상담 정밀형,HW,,"CIVIL=1.5, INDUST=0.5, ADMIN=0.5",공간·지도·도면을 보고 길과 위치를 잘 파악한다.
Q132,COMP,역량 인식,3,상담 정밀형,BIZ,,"ACC=1.5, ADMIN=0.5",숫자를 다루는 일에서 오차 없이 끝까지 맞추는 책임감이 강하다.
Q133,COMP,역량 인식,3,상담 정밀형,BIZ,,"BIZ=1.5, ACC=0.5, CIVIL=0.5",시장 동향·가격 변화에 대한 감각이 빠른 편이다.
Q134,COMP,역량 인식,3,상담 정밀형,BIZ,,"ADMIN=1.5, WELFARE=0.5",공정·중립적으로 판단하고 규정을 지키는 능력이 있다.
Q135,COMP,역량 인식,3,상담 정밀형,HUM,,"WELFARE=1.5, EDU=0.5, MED=0.5",사람의 말을 끝까지 듣고 비판 없이 받아들이는 데 능숙하다.
Q136,COMP,역량 인식,3,상담 정밀형,ART,,"DESIGN=1.5, BEAUTY=0.5",색 조합·레이아웃·균형 감각이 또래보다 뛰어난 편이다.
Q137,COMP,역량 인식,3,상담 정밀형,ART,,"CONTENT=1.5, LANG=0.5",노래·연기·연주 등 무대에서 표현하는 능력이 있다.
Q138,COMP,역량 인식,3,상담 정밀형,ART,,"BEAUTY=1.5, DESIGN=0.5",사람 얼굴형·피부 톤·머리카락 결을 세심하게 관찰하는 능력이 있다.
Q139,COMP,역량 인식,3,상담 정밀형,HEALTH,,"HEALTH=1.5, EDU=0.5",사람들의 운동 자세를 보고 잘못된 부분을 짚어낼 수 있다.
Q140,COMP,역량 인식,3,상담 정밀형,HEALTH,,"MED=1.5, ADMIN=0.5, SEC=0.5",개인 정보·비밀을 잘 지키고 책임감 있게 다룬다.
Q141,JOB,직무 선호,1,1차 기본,ALL,,"SW=1.5, AI=0.5, GAME=0.5",소프트웨어·앱 개발자로 일하고 싶다.
Q142,JOB,직무 선호,1,1차 기본,ALL,,"MECH=1.0, ELEC=1.0, CIVIL=1.0, EMB=0.5",기술 엔지니어로 현장에서 일하고 싶다.
Q143,JOB,직무 선호,1,1차 기본,ALL,,"BIZ=1.5, INDUST=0.5, ACC=0.5",회사에서 기획·관리·경영 업무를 하고 싶다.
Q144,JOB,직무 선호,1,1차 기본,ALL,,"ADMIN=1.5, ACC=0.5",공무원이나 공기업에서 안정적으로 일하고 싶다.
Q145,JOB,직무 선호,1,1차 기본,ALL,,"SERVICE=1.5, BIZ=0.5, LANG=0.5",사람을 직접 응대하는 서비스직(승무원·호텔 등)이 매력적이다.
Q146,JOB,직무 선호,1,1차 기본,ALL,,"EDU=1.5, WELFARE=0.5",유치원·어린이집 교사로 일하고 싶다.
Q147,JOB,직무 선호,1,1차 기본,ALL,,"WELFARE=1.5, EDU=0.5",사회복지사·상담사로 일하고 싶다.
Q148,JOB,직무 선호,1,1차 기본,ALL,,"DESIGN=1.5, CONTENT=0.5",디자이너로 일하고 싶다.
Q149,JOB,직무 선호,1,1차 기본,ALL,,"CONTENT=1.5, DESIGN=0.5",작가·연기자·연출가·뮤지션 같은 창작자로 일하고 싶다.
Q150,JOB,직무 선호,1,1차 기본,ALL,,"BEAUTY=1.5, DESIGN=0.5",헤어디자이너·메이크업아티스트·피부관리사로 일하고 싶다.
Q151,JOB,직무 선호,1,1차 기본,ALL,,"HEALTH=1.5, EDU=0.5",스포츠 지도사·트레이너로 일하고 싶다.
Q152,JOB,직무 선호,1,1차 기본,ALL,,"MED=1.5, ADMIN=0.5, WELFARE=0.5",병원·보건소에서 의료정보·보건 관련 업무를 하고 싶다.
Q153,JOB,직무 선호,1,1차 기본,ALL,,"ACC=1.5, BIZ=0.5, ADMIN=0.5",회계·세무·재무 분야에서 전문가로 일하고 싶다.
Q154,JOB,직무 선호,1,1차 기본,ALL,,"LANG=1.5, SERVICE=0.5, BIZ=0.5",외국어를 활용해 해외 무역·국제 업무를 하고 싶다.
Q155,JOB,직무 선호,2,2차 심화,IT,,"AI=1.5, SW=0.5",AI 엔지니어·데이터 분석가로 일하고 싶다.
Q156,JOB,직무 선호,2,2차 심화,IT,,"GAME=1.5, SW=0.5, DESIGN=0.5",게임 개발자·게임 기획자로 일하고 싶다.
Q157,JOB,직무 선호,2,2차 심화,IT,,"SEC=1.5, SYS=0.5, NET=0.5",정보보안 전문가·보안솔루션 개발자로 일하고 싶다.
Q158,JOB,직무 선호,2,2차 심화,IT,,"NET=1.5, SYS=1.0",통신·네트워크·시스템 운영자로 일하고 싶다.
Q159,JOB,직무 선호,2,2차 심화,HW,,"EMB=1.5, ELEC=0.5, SW=0.5",임베디드·IoT·드론 운용 전문가로 일하고 싶다.
Q160,JOB,직무 선호,2,2차 심화,HW,,"MECH=1.5, INDUST=0.5",기계설계 엔지니어·제조 엔지니어로 일하고 싶다.
Q161,JOB,직무 선호,2,2차 심화,HW,,"CIVIL=1.5, ADMIN=0.5, INDUST=0.5",토목·건설·공간정보(GIS) 분야 전문가로 일하고 싶다.
Q162,JOB,직무 선호,2,2차 심화,BIZ,,"BIZ=1.5, ACC=0.5, CIVIL=0.5",공인중개사·감정평가사·주택관리사로 일하고 싶다.
Q163,JOB,직무 선호,2,2차 심화,HUM,,"EDU=1.5, WELFARE=1.0",어린이·청소년을 돌보는 보육·교육 현장에서 일하고 싶다.
Q164,JOB,직무 선호,2,2차 심화,ART,,"CONTENT=1.5, DESIGN=0.5, BEAUTY=0.5",방송·영화·공연 분야의 기술 스태프나 출연자로 일하고 싶다.
Q165,JOB,직무 선호,3,상담 정밀형,IT,,"SW=1.5, SYS=0.5",응용 소프트웨어 개발자·모바일 콘텐츠 개발자로 일하고 싶다.
Q166,JOB,직무 선호,3,상담 정밀형,IT,,"SW=1.0, AI=0.5, BIZ=0.5",IT 기획자·IT 컨설턴트로 일하고 싶다.
Q167,JOB,직무 선호,3,상담 정밀형,IT,,"SYS=1.5, NET=0.5, SEC=0.5",시스템 엔지니어·DB 엔지니어로 일하고 싶다.
Q168,JOB,직무 선호,3,상담 정밀형,HW,,"HW=1.5, EMB=0.5, AI=0.5",전자공학 기술자·임베디드 SW 엔지니어로 일하고 싶다.
Q169,JOB,직무 선호,3,상담 정밀형,HW,,"ELEC=1.5, INDUST=0.5",전기공학 기술자·전기 설비 운용원으로 일하고 싶다.
Q170,JOB,직무 선호,3,상담 정밀형,HW,,"EMB=1.5, CONTENT=0.5",드론 영상 촬영·편집 전문가로 일하고 싶다.
Q171,JOB,직무 선호,3,상담 정밀형,HW,,"INDUST=1.5, BIZ=0.5, MECH=0.5","생산·품질 관리자, 물류·구매 사무원으로 일하고 싶다."
Q172,JOB,직무 선호,3,상담 정밀형,HW,,"CIVIL=1.5, ADMIN=1.0",토지행정직 공무원·국토정보공사 같은 공공기관에서 일하고 싶다.
